λ	लैम्ब्डा
π	पाइ
α	अल्फा
β	बीटा
γ	गामा
δ	डेल्टा
ε	एप्सिलन
ζ	जेटा
η	एटा
θ	थीटा
ι	आयोटा
κ	कप्पा
μ	म्यू
ν	न्यू
ξ	ग्जाइ
ρ	रो
σ	सिग्मा
τ	टाउ
υ	उप्सिलन
φ	फाइ
χ	खाइ
ψ	साइ
ω	ओमेगा
