λलैम्ब्डा
πपाई
αअल्फा
βबीटा
γगामा
δडेल्टा
εएप्सिलॉन
ζजीटा
ηईटा
θथीटा
ιआयोटा
κकप्पा
μम्यू
νन्यू
ξजाई
ρरो
σसिग्मा
τटाऊ
υउप्सिलॉन
φफाई
χकाई
ψसाई
ωओमेगा
