+	जोड़
-	घटाव
/	भाग
÷	भाग
:	भाग
×	गुना
*	गुना
·	गुना
x	गुना
X	गुना
=	बराबर
≈	लगभग बराबर
√	वर्गमूळ
(	खुला ब्रैकेट
)	बंद ब्रैकेट
&	अउ
^	कैरेट
%	प्रतिशत
$	डॉलर
#	हैश
@	एट
!	विस्मयादिबोधक
<	छोटा
>	बड़ा
.	दशमलव
?	सवाल चिह्न

