१०	दहा
११	अकरा
१२	बारा
१३	तेरा
१४	चौदा
१५	पंधरा
१६	सोळा
१७	सतरा
१८	अठरा
१९	एकोणीस
२०	वीस
२१	एकवीस
२२	बावीस
२३	तेवीस
२४	चोवीस
२५	पंचवीस
२६	सव्वीस
२७	सत्तावीस
२८	अठ्ठावीस
२९	एकोणतीस
३०	तीस
३१	एकतीस
३२	बत्तीस
३३	तेहेतीस
३४	चौतीस
३५	पस्तीस
३६	छत्तीस
३७	सदतीस
३८	अडतीस
३९	एकोणचाळीस
४०	चाळीस
४१	एक्केचाळीस
४२	बेचाळीस
४३	त्रेचाळीस
४४	चव्वेचाळीस
४५	पंचेचाळीस
४६	सेहेचाळीस
४७	सत्तेचाळीस
४८	अठ्ठेचाळीस
४९	एकोणपन्नास
५०	पन्नास
५१	एक्कावन्न
५२	बावन्न
५३	त्रेपन्न
५४	चोपन्न
५५	पंचावन्न
५६	छप्पन्न
५७	सत्तावन्न
५८	अठ्ठावन्न
५९	एकोणसाठ
६०	साठ
६१	एकसष्ट
६२	बासष्ट
६३	त्रेसष्ट
६४	चौसष्ट
६५	पासष्ट
६६	सहासष्ट
६७	सदुसष्ट
६८	अडुसष्ट
६९	एकोणसत्तर
७०	सत्तर
७१	एक्काहत्तर
७२	बाहत्तर
७३	त्र्याहत्तर
७४	चौर्याहत्तर
७५	पंच्याहत्तर
७६	शहात्तर
७७	सत्याहत्तर
७८	अठ्ठ्याहत्तर
७९	एकोणऐंशी
८०	ऐंशी
८१	एक्क्याऐंशी
८२	ब्याऐंशी
८३	त्र्याऐंशी
८४	चौऱ्याऐंशी
८५	पंच्याऐंशी
८६	शहाऐंशी
८७	सत्त्याऐंशी
८८	अठ्ठ्याऐंशी
८९	एकोणनव्वद
९०	नव्वद
९१	एक्क्याण्णव
९२	ब्याण्णव
९३	त्र्याण्णव
९४	चौऱ्याण्णव
९५	पंच्याण्णव
९६	शहाण्णव
९७	सत्त्याण्णव
९८	अठ्ठ्याण्णव
९९	नव्याण्णव

