₹	रुपए
£	पाउंड
₩	वॉन
$	डॉलर
₺	लीरा
৳	टका
¥	येन
₦	नाइरा
€	यूरो
Rs	रुपए
RS	रुपए
rs	रुपए
Rs.	रुपए
RS.	रुपए
rs.	रुपए
INR	रुपए
Inr	रुपए
inr	रुपए
